id,title,description,availability,condition,price,link,image_link,brand,item_group_id,Size
NCH-CMB1,Irani Chai + Maska Bun,Classic combo — a glass of authentic Irani chai with a fresh maska bun from HKP Road,in stock,new,199 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/combo-chai-maska-bun.jpg,Nawabi Chai House,,
NCH-CMB2,Irani Chai + Keema Samosa,Spicy keema samosa paired with a glass of Irani chai — a HKP Road classic,in stock,new,149 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/combo-chai-keema-samosa.jpg,Nawabi Chai House,,
NCH-CMB3,Irani Chai + Fruit Biscuits,Irani chai with assorted fruit biscuits — perfect for a quick chai break,in stock,new,149 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/combo-chai-fruit-biscuits.jpg,Nawabi Chai House,,
NCH-CMB4,Irani Chai + Omlet Bun,A hearty combo — Irani chai with a freshly made omlet bun,in stock,new,219 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/combo-chai-omlet-bun.jpg,Nawabi Chai House,,
NCH-CMB5,Zafrani Chai + Osmania Biscuits,Saffron-infused zafrani chai paired with crispy Osmania biscuits,in stock,new,199 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/combo-zafrani-chai-osmania.jpg,Nawabi Chai House,,
NCH-CMB6,Irani Chai + Dil Pasand,Irani chai with a sweet dil pasand — a classic Hyderabadi pairing,in stock,new,199 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/combo-chai-dil-pasand.jpg,Nawabi Chai House,,
NCH-IC-250,Irani Chai,Authentic Irani chai brewed slow the traditional way — rich creamy simmered milk tea from HKP Road,in stock,new,99 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-chai.jpg,Nawabi Chai House,NCH-IC,250ml
NCH-IC-500,Irani Chai,Authentic Irani chai brewed slow the traditional way — rich creamy simmered milk tea from HKP Road,in stock,new,189 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-chai.jpg,Nawabi Chai House,NCH-IC,500ml
NCH-IGC-250,Irani Ginger Chai,Classic Irani chai infused with fresh ginger for a warm spicy kick,in stock,new,119 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-ginger-chai.jpg,Nawabi Chai House,NCH-IGC,250ml
NCH-IGC-500,Irani Ginger Chai,Classic Irani chai infused with fresh ginger for a warm spicy kick,in stock,new,228 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-ginger-chai.jpg,Nawabi Chai House,NCH-IGC,500ml
NCH-IBC-250,Irani Black Chai,Bold unsweetened black Irani chai — strong aromatic and deeply satisfying,in stock,new,99 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-black-chai-1.jpg,Nawabi Chai House,NCH-IBC,250ml
NCH-IBC-500,Irani Black Chai,Bold unsweetened black Irani chai — strong aromatic and deeply satisfying,in stock,new,189 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-black-chai-1.jpg,Nawabi Chai House,NCH-IBC,500ml
NCH-LT-250,Lemon Tea,Fresh lemon tea — tangy light and refreshing,in stock,new,99 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/lemon-tea-1.jpg,Nawabi Chai House,NCH-LT,250ml
